stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
346,346,Canal Landing & Marina,CANAL LANDING BLVD & MARINA DR,43.184383,-77.697347,,,,
347,347,Canal Landing & Marina,CANAL LANDING BLVD & MARINA DR,43.184312,-77.69678,,,,
350,350,Carter & 648 Carter,CARTER ST & REXFORD ST,43.189052,-77.591914,,,,
352,352,Carter & 997 Carter,CARTER ST & REXFORD ST,43.196252,-77.592304,,,,
354,354,Carter & Brambury,CARTER ST & BRAMBURY DR,43.194988,-77.59223,,,,
355,355,Carter & Norton,,43.187274,-77.59183,,,,
357,357,Carter & Rexford,CARTER ST & REXFORD ST,43.190455,-77.591984,,,,
359,359,Carter & Wilson Health Ctr,CARTER ST & DRIVEWAY,43.191621,-77.592023,,,,
361,361,Chalford & Denise,CHALFORD RD & DENISE RD,43.241639,-77.632516,,,,
362,362,Chalford & Forgham,CHALFORD RD & FORGHAM RD,43.238149,-77.633003,,,,
363,363,Chalford & Groveland,CHALFORD RD & GROVELAND RD,43.239376,-77.632553,,,,
366,366,Chestnut & Andrews,,43.160793,-77.603089,,,,
367,367,Chestnut & Johnson,STATE HWY 31 & JOHNSON PL,43.152138,-77.602443,,,,
370,370,Chestnut & Main,N CHESTNUT ST & MAIN ST E,43.157865,-77.602382,,,,
371,371,Chestnut & Main,N CHESTNUT ST & MAIN ST E,43.158,-77.602197,,,,
372,372,Chestnut & Pleasant,N CHESTNUT ST & PLEASANT ST,43.160082,-77.603114,,,,
373,373,Chestnut & Pleasant,N CHESTNUT ST & PLEASANT ST,43.159443,-77.602631,,,,
374,374,Chestnut & University,N CHESTNUT ST & PLEASANT ST,43.160877,-77.602854,,,,
375,375,Chestnut & Woodbury,CHESTNUT ST & STATE HWY 31,43.153218,-77.60296,,,,
383,383,Child & Campbell,CHILD ST & CAMPBELL ST,43.157525,-77.638931,,,,
384,384,Child & Campbell,CHILD ST & CAMPBELL ST,43.157283,-77.638757,,,,
385,385,Child & Jay,CHILD ST & JAY ST,43.159085,-77.638909,,,,
386,386,Child & Maple,CHILD ST & MAPLE ST,43.155378,-77.638926,,,,
387,387,Chili & 2487 Chili,STATE HWY 33A & MAPLE ST,43.127458,-77.699373,,,,
388,388,Chili & 2648 Chili,STATE HWY 33A & MAPLE ST,43.125457,-77.703994,,,,
389,389,Chili & 2669 Chili,STATE HWY 33A & LEXINGTON PKWY,43.124189,-77.706578,,,,
391,391,Chili & 2765 Chili,STATE HWY 33A & WYNCREST DR,43.120958,-77.712989,,,,
392,392,Chili & 2782 Chili,STATE HWY 33A & MARSHALL RD,43.120534,-77.714171,,,,
